name,role,hand,position,batting_rating,bowling_rating,bowling_style,fielding_rating,fitness,form
Saim Ayub,ALL_ROUNDER,LEFT,1,85,75,OFF_SPIN,89,85,0.8
Sahibzada Farhan,OPENER,RIGHT,2,87,12,LEG_SPIN,88,85,0.75
Fakhar Zaman,TOP_ORDER,LEFT,3,93,34,ORTHODOX,86,85,0.97
Salman Agha,ALL_ROUNDER,RIGHT,4,89,63,OFF_SPIN,85,85,0.73
Hasan Nawaz,MIDDLE_ORDER,RIGHT,5,80,16,LEG_SPIN,84,85,0.55
Mohammad Haris,WICKET_KEEPER,RIGHT,6,71,0,OFF_SPIN,87,85,0.70
Mohammad Nawaz,ALL_ROUNDER,LEFT,7,67,72,ORTHODOX,83,85,0.79
Faheem Ashraf,ALL_ROUNDER,RIGHT,8,62,76,MEDIUM,82,85,0.78
Shaheen Shah Afridi,BOWLER,RIGHT,9,41,91,FAST,81,85,0.93
Sufiyan Muqeem,BOWLER,RIGHT,10,26,76,OFF_SPIN,80,85,0.89
Abrar Ahmed,BOWLER,RIGHT,11,13,85,LEG_SPIN,79,85,0.87
